Token file dump for '/aramis/Data/Source/Mondial/tokens'
Generated on 2002-12-15 12:24:29.068

tokenCount    = 12126
instanceCount = 588662
(' ', count=307308, hclen=1)
('
', count=42414, hclen=4)
('_', count=24494, hclen=4)
('f0', count=24494, hclen=5)
('</>', count=22423, hclen=5)
('<@>', count=18941, hclen=5)
('@country', count=13394, hclen=5)
('@type', count=7874, hclen=6)
('<MEMBERS', count=7505, hclen=6)
('member', count=6840, hclen=6)
('@id', count=5562, hclen=7)
('<NAME', count=3481, hclen=7)
('@province', count=3267, hclen=7)
('<CITY', count=3152, hclen=7)
('<POPULATION', count=2909, hclen=8)
('@year', count=2909, hclen=8)
('.', count=2418, hclen=8)
('@name', count=2410, hclen=8)
('@population', count=1686, hclen=8)
('@area', count=1601, hclen=8)
('@capital', count=1510, hclen=9)
('<PROVINCE', count=1455, hclen=9)
('1', count=1349, hclen=9)
('0', count=1333, hclen=9)
('@percentage', count=1311, hclen=9)
('00', count=1277, hclen=9)
('2', count=1248, hclen=9)
('3', count=1244, hclen=9)
('5', count=1192, hclen=9)
('4', count=1169, hclen=9)
('9', count=1048, hclen=9)
('6', count=1008, hclen=9)
('8', count=1006, hclen=9)
('7', count=989, hclen=9)
('90', count=908, hclen=9)
('@latitude', count=830, hclen=9)
('@longitude', count=830, hclen=9)
('@length', count=706, hclen=10)
('<LOCATED', count=672, hclen=10)
('-', count=613, hclen=10)
('<BORDER', count=613, hclen=10)
('<ETHNICGROUPS', count=515, hclen=10)
('96', count=492, hclen=10)
('95', count=485, hclen=10)
('<RELIGIONS', count=446, hclen=10)
('91', count=440, hclen=10)
('358', count=405, hclen=10)
('475', count=400, hclen=10)
('967', count=369, hclen=11)
('@water', count=369, hclen=11)
('National', count=352, hclen=11)
('100', count=343, hclen=11)
('418', count=328, hclen=11)
('765', count=299, hclen=11)
('87', count=292, hclen=11)
('94', count=280, hclen=11)
('000', count=253, hclen=11)
('670', count=242, hclen=11)
('526', count=237, hclen=11)
('<ENCOMPASSED', count=234, hclen=11)
('@continent', count=234, hclen=11)
('<LOCATED_AT', count=233, hclen=11)
('<COUNTRY', count=231, hclen=11)
('@government', count=231, hclen=11)
('@total_area', count=231, hclen=11)
('@datacode', count=230, hclen=11)
('@population_growth', count=230, hclen=11)
('@infant_mortality', count=222, hclen=11)
('@gdp_total', count=220, hclen=11)
('sea', count=214, hclen=11)
('337', count=202, hclen=11)
('@inflation', count=202, hclen=11)
('Committee', count=195, hclen=11)
('@car_code', count=194, hclen=12)
('Olympic', count=193, hclen=12)
('492', count=192, hclen=12)
('<ISLAND', count=184, hclen=12)
